time_ref,account,code,country_code,product_type,value,status
201809,Imports,0,PY,Goods,1093,F
201809,Imports,0,QA,Goods,7370382,F
201512,Exports,0,EG,Goods,122246057,F
201809,Imports,0,RE,Goods,3062,F
201512,Exports,0,ES,Goods,25864372,F
201809,Imports,0,RO,Goods,18143804,F
201512,Exports,0,ET,Goods,107851,F
201809,Imports,0,RS,Goods,1639832,F
201512,Exports,0,FI,Goods,5751654,F
201809,Imports,0,RU,Goods,144188303,F
201512,Exports,0,FJ,Goods,113162372,F
201809,Imports,0,RW,Goods,224214,F
201512,Exports,0,FK,Goods,230046,F
201809,Imports,0,SA,Goods,113595527,F
201512,Exports,0,FM,Goods,625944,F
201809,Imports,0,SB,Goods,2158038,F
201512,Exports,0,FO,Goods,711399,F
201809,Imports,0,SC,Goods,1948,F
201512,Exports,0,FR,Goods,82235459,F
201809,Imports,0,SD,Goods,910,F
201512,Exports,0,GA,Goods,1001447,F
201809,Imports,0,SE,Goods,89135087,F
201512,Exports,0,GB,Goods,390026205,F
201809,Imports,0,SG,Goods,505090150,F
201512,Exports,0,GD,Goods,821297,F
201809,Imports,0,SH,Goods,1834,F
201809,Imports,0,SI,Goods,14948789,F
201809,Imports,0,SK,Goods,21367241,F
201809,Imports,0,SL,Goods,80737,F
201809,Imports,0,SM,Goods,79,F
201809,Imports,0,SN,Goods,80891,F
201809,Imports,0,SO,Goods,1308,F
201809,Imports,0,SR,Goods,170067,F
201809,Imports,0,SS,Goods,26,F
201809,Imports,0,ST,Goods,99163,F
201809,Imports,0,SV,Goods,471318,F
201809,Imports,0,SY,Goods,150,F
201809,Imports,0,SZ,Goods,185223,F
201809,Imports,0,TC,Goods,61,F
201809,Imports,0,TG,Goods,52079,F
201809,Imports,0,TH,Goods,692891444,F
201809,Imports,0,TK,Goods,88216,F
201809,Imports,0,TL,Goods,114339,F
201809,Imports,0,TN,Goods,2498357,F
201809,Imports,0,TO,Goods,814517,F
201809,Imports,0,TR,Goods,48467435,F
201809,Imports,0,TT,Goods,297245,F
201809,Imports,0,TW,Goods,235299763,F
201809,Imports,0,TZ,Goods,486775,F
201809,Imports,0,UA,Goods,4301540,F
201809,Imports,0,UG,Goods,147496,F
201809,Imports,0,UM,Goods,29476,F
201809,Imports,0,US,Goods,1809291384,F
201809,Imports,0,UY,Goods,3593321,F
201809,Imports,0,UZ,Goods,27,F
201809,Imports,0,VC,Goods,806,F
201809,Imports,0,VE,Goods,25154,F
201809,Imports,0,VG,Goods,21832,F
201809,Imports,0,VI,Goods,6873,F
201809,Imports,0,VN,Goods,221983900,F
201809,Imports,0,VU,Goods,140993,F
201809,Imports,0,WS,Goods,1717814,F
201809,Imports,0,YE,Goods,11888,F
201809,Imports,0,ZA,Goods,38535602,F
201809,Imports,0,ZM,Goods,75197,F
201809,Imports,0,ZW,Goods,426539,F
201812,Exports,0,AE,Goods,188286908,F
201812,Exports,0,AF,Goods,3128,F
201812,Exports,0,AG,Goods,344357,F
201812,Exports,0,AI,Goods,2260,F
201812,Exports,0,AM,Goods,8889,F
201812,Exports,0,AO,Goods,1765294,F
201812,Exports,0,AQ,Goods,1272079,F
201812,Exports,0,AR,Goods,3877098,F
201812,Exports,0,AS,Goods,6462570,F
201812,Exports,0,AT,Goods,22989004,F
201812,Exports,0,AU,Goods,2401435160,F
201812,Exports,0,AW,Goods,328710,F
201812,Exports,0,AZ,Goods,5634972,F
201812,Exports,0,BA,Goods,194214,F
201812,Exports,0,BB,Goods,6318556,F
201812,Exports,0,BD,Goods,86029255,F
201812,Exports,0,BE,Goods,71549478,F
201812,Exports,0,BF,Goods,51736,F
201812,Exports,0,BG,Goods,3467552,F
201812,Exports,0,BH,Goods,20272418,F
201812,Exports,0,BJ,Goods,216667,F
201812,Exports,0,BM,Goods,3778613,F
201812,Exports,0,BN,Goods,1025087,F
201812,Exports,0,BO,Goods,216641,F
201812,Exports,0,BR,Goods,21922196,F
201812,Exports,0,BS,Goods,1021424,F
201812,Exports,0,BT,Goods,31984,F
201812,Exports,0,BW,Goods,7933,F
201812,Exports,0,BY,Goods,495600,F
201812,Exports,0,BZ,Goods,153215,F
201812,Exports,0,CA,Goods,182951812,F
201812,Exports,0,CD,Goods,3429632,F
201812,Exports,0,CF,Goods,39058,F
201812,Exports,0,CG,Goods,544066,F
201812,Exports,0,CH,Goods,38923922,F
201812,Exports,0,CI,Goods,7297201,F
201812,Exports,0,CK,Goods,32933008,F
201812,Exports,0,CL,Goods,44198402,F
201812,Exports,0,CM,Goods,7159917,F
201812,Exports,0,CN,Goods,4408549523,F
201812,Exports,0,CO,Goods,3410891,F
201812,Exports,0,CR,Goods,974002,F
201812,Exports,0,CU,Goods,3119195,F
201812,Exports,0,CW,Goods,105372,F
201812,Exports,0,CX,Goods,51248,F
201812,Exports,0,CY,Goods,3163866,F
201812,Exports,0,CZ,Goods,13411559,F
201812,Exports,0,DE,Goods,181667582,F
201812,Exports,0,DJ,Goods,243532,F
201812,Exports,0,DK,Goods,38988916,F
201812,Exports,0,DO,Goods,9834821,F
201812,Exports,0,DZ,Goods,82852899,F
201812,Exports,0,EC,Goods,1048335,F
201812,Exports,0,EE,Goods,1506568,F
201812,Exports,0,EG,Goods,87390560,F
201812,Exports,0,ES,Goods,25474151,F
201812,Exports,0,ET,Goods,506735,F
201812,Exports,0,FI,Goods,6540795,F
201812,Exports,0,FJ,Goods,127051911,F
201812,Exports,0,FK,Goods,104687,F
201812,Exports,0,FM,Goods,1088370,F
201812,Exports,0,FO,Goods,1046042,F
201812,Exports,0,FR,Goods,86343771,F
201812,Exports,0,GA,Goods,824671,F
201812,Exports,0,GB,Goods,388908911,F
201812,Exports,0,GD,Goods,933761,F
201812,Exports,0,GE,Goods,15831198,F
201812,Exports,0,GF,Goods,240165,F
201812,Exports,0,GH,Goods,7383623,F
201812,Exports,0,GI,Goods,150729,F
201812,Exports,0,GL,Goods,2055,F
201812,Exports,0,GN,Goods,12524,F
201812,Exports,0,GP,Goods,629234,F
201812,Exports,0,GQ,Goods,347437,F
201812,Exports,0,GR,Goods,4174754,F
201812,Exports,0,GT,Goods,11301015,F
201812,Exports,0,GU,Goods,2267226,F
201812,Exports,0,GY,Goods,6760904,F
201812,Exports,0,HK,Goods,285796171,F
201812,Exports,0,HN,Goods,147136,F
201812,Exports,0,HR,Goods,139369,F
201812,Exports,0,HT,Goods,113429,F
201812,Exports,0,HU,Goods,1463635,F
201812,Exports,0,ID,Goods,228891034,F
201812,Exports,0,IE,Goods,16403707,F
201812,Exports,0,IL,Goods,5066915,F
201812,Exports,0,IN,Goods,157600791,F
201812,Exports,0,IQ,Goods,427105,F
201812,Exports,0,IR,Goods,4384146,F
201812,Exports,0,IS,Goods,414298,F
201812,Exports,0,IT,Goods,76333780,F
201812,Exports,0,JM,Goods,12743255,F
201812,Exports,0,JO,Goods,21457088,F
201512,Imports,0,BE,Goods,85229806,F
201812,Exports,0,JP,Goods,800107945,F
201512,Imports,0,BG,Goods,3860858,F
201812,Exports,0,KE,Goods,2976249,F
201512,Imports,0,BH,Goods,1349569,F
201812,Exports,0,KG,Goods,23542,F
201512,Imports,0,BI,Goods,17522,F
201812,Exports,0,KH,Goods,2888065,F
201512,Imports,0,BM,Goods,1084866,F
201812,Exports,0,KI,Goods,3028339,F
201512,Imports,0,BN,Goods,89069135,F
201812,Exports,0,KM,Goods,152828,F
201512,Imports,0,BO,Goods,2235996,F
201812,Exports,0,KN,Goods,6113,F
201512,Imports,0,BR,Goods,38039760,F
201812,Exports,0,KR,Goods,420074146,F
201512,Imports,0,BS,Goods,4248,F
201812,Exports,0,KW,Goods,20719793,F
201512,Imports,0,BT,Goods,5747,F
201812,Exports,0,KY,Goods,378355,F
201512,Imports,0,BW,Goods,9130,F
201812,Exports,0,KZ,Goods,190651,F
201512,Imports,0,BY,Goods,312089,F
201812,Exports,0,LA,Goods,223927,F
201512,Exports,0,GE,Goods,366464,F
201512,Exports,0,GF,Goods,167460,F
201512,Exports,0,GH,Goods,7271498,F
201512,Exports,0,GI,Goods,165274,F
201512,Exports,0,GM,Goods,75471,F
201512,Exports,0,GN,Goods,1299581,F
201512,Exports,0,GP,Goods,776891,F
201512,Exports,0,GQ,Goods,215541,F
201512,Exports,0,GR,Goods,4445403,F
201512,Exports,0,GS,Goods,2384,F
201512,Exports,0,GT,Goods,8746850,F
201512,Exports,0,GU,Goods,1758116,F
201512,Exports,0,GW,Goods,93280,F
201512,Exports,0,GY,Goods,4084085,F
201512,Exports,0,HK,Goods,194106092,F
201512,Exports,0,HN,Goods,3984552,F
201512,Exports,0,HR,Goods,72522,F
201512,Exports,0,HT,Goods,283754,F
201512,Exports,0,HU,Goods,414615,F
201512,Exports,0,ID,Goods,175258285,F
201512,Exports,0,IE,Goods,15118894,F
201512,Exports,0,IL,Goods,12329469,F
201512,Exports,0,IN,Goods,163420164,F
201512,Exports,0,IQ,Goods,1566569,F
201512,Exports,0,IR,Goods,28132203,F
201512,Exports,0,IS,Goods,280067,F
201512,Exports,0,IT,Goods,90948292,F
201512,Exports,0,JM,Goods,14362478,F
201512,Exports,0,JO,Goods,21855800,F
201512,Exports,0,JP,Goods,680364838,F
201512,Exports,0,KE,Goods,3518866,F
201512,Exports,0,KH,Goods,1767156,F
201512,Exports,0,KI,Goods,2436705,F
201512,Exports,0,KN,Goods,62625,F
201512,Exports,0,KR,Goods,369628728,F
201512,Exports,0,KW,Goods,26458337,F
201512,Exports,0,KY,Goods,215598,F
201512,Exports,0,KZ,Goods,3230006,F
201512,Exports,0,LA,Goods,447749,F
201512,Exports,0,LB,Goods,5424013,F
201512,Exports,0,LC,Goods,1052206,F
201512,Exports,0,LK,Goods,61349952,F
201512,Exports,0,LR,Goods,597189,F
201512,Exports,0,LT,Goods,15675920,F
201512,Exports,0,LU,Goods,460883,F
201512,Exports,0,LV,Goods,1475682,F
201512,Exports,0,LY,Goods,12542586,F
201512,Exports,0,MA,Goods,17506768,F
201512,Exports,0,MC,Goods,1355,F
201512,Exports,0,MD,Goods,44510,F
201512,Exports,0,ME,Goods,148368,F
201512,Exports,0,MG,Goods,1542817,F
201512,Exports,0,MH,Goods,1278005,F
201512,Exports,0,MK,Goods,3057,F
201512,Exports,0,ML,Goods,3255618,F
201512,Exports,0,MM,Goods,11234776,F
201512,Exports,0,MN,Goods,5089116,F
201512,Exports,0,MO,Goods,1353698,F
201512,Exports,0,MP,Goods,1114215,F
201512,Exports,0,MQ,Goods,848510,F
201512,Exports,0,MT,Goods,1528605,F
201512,Exports,0,MU,Goods,15746714,F
201512,Exports,0,MV,Goods,4390874,F
201512,Exports,0,MX,Goods,114330240,F
201512,Exports,0,MY,Goods,227770653,F
201512,Exports,0,MZ,Goods,1609238,F
201512,Exports,0,NA,Goods,121246,F
201512,Exports,0,NC,Goods,41713019,F
201512,Exports,0,NE,Goods,401782,F
201512,Exports,0,NF,Goods,1787791,F
201512,Exports,0,NG,Goods,67698647,F
201512,Exports,0,NI,Goods,4794903,F
201512,Exports,0,NL,Goods,211158867,F
201512,Exports,0,NO,Goods,10115937,F
201512,Exports,0,NP,Goods,1195560,F
201512,Exports,0,NR,Goods,119756,F
201512,Exports,0,NU,Goods,3599275,F
201512,Exports,0,OM,Goods,28394104,F
201512,Exports,0,PA,Goods,15209293,F
201512,Exports,0,PE,Goods,45539165,F
201512,Exports,0,PF,Goods,40558649,F
201512,Exports,0,PG,Goods,48989722,F
201512,Exports,0,PH,Goods,145283353,F
201512,Exports,0,PK,Goods,20165198,F
201512,Exports,0,PL,Goods,9551137,F
201512,Exports,0,PN,Goods,219249,F
201512,Exports,0,PR,Goods,38029,F
201512,Exports,0,PT,Goods,9824977,F
201512,Exports,0,PW,Goods,31632,F
201512,Exports,0,PY,Goods,1162168,F
201512,Exports,0,QA,Goods,7721634,F
201512,Exports,0,RE,Goods,3119040,F
201512,Exports,0,RO,Goods,3742859,F
201512,Exports,0,RS,Goods,32897,F
201512,Exports,0,RU,Goods,37706635,F
201512,Exports,0,RW,Goods,56907,F
